K	re1	im1	re2	im2	re3	im3
0	0	0	-2	1	-2	-1
0.49182	-0.096123	0	-1.9519	1.143	-1.9519	-1.143
0.5393	-0.10513	0	-1.9474	1.1564	-1.9474	-1.1564
0.59137	-0.11495	0	-1.9425	1.1711	-1.9425	-1.1711
0.64847	-0.12563	0	-1.9372	1.187	-1.9372	-1.187
0.71108	-0.13725	0	-1.9314	1.2045	-1.9314	-1.2045
0.77974	-0.14987	0	-1.9251	1.2235	-1.9251	-1.2235
0.85502	-0.16356	0	-1.9182	1.2442	-1.9182	-1.2442
0.93757	-0.17839	0	-1.9108	1.2668	-1.9108	-1.2668
1.0281	-0.19441	0	-1.9028	1.2914	-1.9028	-1.2914
1.1274	-0.2117	0	-1.8942	1.3182	-1.8942	-1.3182
1.2362	-0.23029	0	-1.8849	1.3474	-1.8849	-1.3474
1.3556	-0.25023	0	-1.8749	1.3792	-1.8749	-1.3792
1.4864	-0.27155	0	-1.8642	1.4137	-1.8642	-1.4137
1.63	-0.29424	0	-1.8529	1.4514	-1.8529	-1.4514
1.7873	-0.31829	0	-1.8409	1.4922	-1.8409	-1.4922
1.9599	-0.34364	0	-1.8282	1.5366	-1.8282	-1.5366
2.1491	-0.3702	0	-1.8149	1.5848	-1.8149	-1.5848
2.3566	-0.39784	0	-1.8011	1.637	-1.8011	-1.637
2.5842	-0.4264	0	-1.7868	1.6934	-1.7868	-1.6934
2.8337	-0.45568	0	-1.7722	1.7544	-1.7722	-1.7544
3.1073	-0.48542	0	-1.7573	1.8202	-1.7573	-1.8202
3.4073	-0.51536	0	-1.7423	1.891	-1.7423	-1.891
3.7363	-0.54523	0	-1.7274	1.9669	-1.7274	-1.9669
4.097	-0.57475	0	-1.7126	2.0482	-1.7126	-2.0482
4.4926	-0.60365	0	-1.6982	2.1351	-1.6982	-2.1351
4.9263	-0.63169	0	-1.6842	2.2276	-1.6842	-2.2276
5.402	-0.65869	0	-1.6707	2.3259	-1.6707	-2.3259
5.9235	-0.68447	0	-1.6578	2.4302	-1.6578	-2.4302
6.4954	-0.70893	0	-1.6455	2.5406	-1.6455	-2.5406
6.53	-0.7103	0	-1.6449	2.5471	-1.6449	-2.5471
7.1226	-0.73199	0	-1.634	2.6572	-1.634	-2.6572
7.8103	-0.75361	0	-1.6232	2.7801	-1.6232	-2.7801
8	-0.75901	0	-1.6205	2.8132	-1.6205	-2.8132
8.5644	-0.7738	0	-1.6131	2.9096	-1.6131	-2.9096
9.3913	-0.79257	0	-1.6037	3.0459	-1.6037	-3.0459
9.79	-0.80058	0	-1.5997	3.1096	-1.5997	-3.1096
10.298	-0.80996	0	-1.595	3.1891	-1.595	-3.1891
11.17	-0.8242	0	-1.5879	3.3213	-1.5879	-3.3213
11.292	-0.82603	0	-1.587	3.3395	-1.587	-3.3395
12.383	-0.84085	0	-1.5796	3.4973	-1.5796	-3.4973
13.578	-0.85449	0	-1.5728	3.6629	-1.5728	-3.6629
14	-0.85877	0	-1.5706	3.7196	-1.5706	-3.7196
14.889	-0.86702	0	-1.5665	3.8365	-1.5665	-3.8365
16.327	-0.87851	0	-1.5607	4.0185	-1.5607	-4.0185
17.1	-0.88392	0	-1.558	4.1132	-1.558	-4.1132
17.903	-0.88905	0	-1.5555	4.2092	-1.5555	-4.2092
19.632	-0.8987	0	-1.5507	4.4091	-1.5507	-4.4091
21.527	-0.90753	0	-1.5462	4.6184	-1.5462	-4.6184
23.605	-0.9156	0	-1.5422	4.8377	-1.5422	-4.8377
25.885	-0.92298	0	-1.5385	5.0673	-1.5385	-5.0673
28.384	-0.92972	0	-1.5351	5.3078	-1.5351	-5.3078
31.124	-0.93588	0	-1.5321	5.5596	-1.5321	-5.5596
34.129	-0.94151	0	-1.5292	5.8233	-1.5292	-5.8233
37.424	-0.94664	0	-1.5267	6.0994	-1.5267	-6.0994
41.038	-0.95132	0	-1.5243	6.3886	-1.5243	-6.3886
45	-0.9556	0	-1.5222	6.6913	-1.5222	-6.6913
18836	-0.99989	0	-1.5001	137.24	-1.5001	-137.24
Inf	-1	0	Inf	0	Inf	0
