K	re1	im1	re2	im2	re3	im3	re4	im4
0	-1.1329e-17	0	-2	1	-2	-1	-26.385	0
2.1354	-0.093816	0	-1.9883	1.1119	-1.9883	-1.1119	-26.315	0
2.5133	-0.10968	0	-1.9866	1.1315	-1.9866	-1.1315	-26.302	0
2.9581	-0.12806	0	-1.9848	1.1544	-1.9848	-1.1544	-26.287	0
3.4815	-0.14926	0	-1.9829	1.1813	-1.9829	-1.1813	-26.27	0
4.0977	-0.17361	0	-1.9809	1.2128	-1.9809	-1.2128	-26.25	0
4.8228	-0.20141	0	-1.9791	1.2496	-1.9791	-1.2496	-26.225	0
5.6763	-0.23291	0	-1.9776	1.2927	-1.9776	-1.2927	-26.197	0
6.6808	-0.26829	0	-1.9766	1.343	-1.9766	-1.343	-26.164	0
7.8631	-0.30756	0	-1.9767	1.4015	-1.9767	-1.4015	-26.124	0
9.2547	-0.35054	0	-1.9786	1.4696	-1.9786	-1.4696	-26.077	0
10.892	-0.39678	0	-1.983	1.5483	-1.983	-1.5483	-26.022	0
12.82	-0.44553	0	-1.9912	1.6391	-1.9912	-1.6391	-25.957	0
15.089	-0.49577	0	-2.0045	1.743	-2.0045	-1.743	-25.88	0
17.759	-0.54627	0	-2.0248	1.8611	-2.0248	-1.8611	-25.789	0
20.902	-0.59577	0	-2.054	1.9945	-2.054	-1.9945	-25.681	0
24.601	-0.64309	0	-2.0943	2.1438	-2.0943	-2.1438	-25.553	0
28.954	-0.68732	0	-2.1481	2.31	-2.1481	-2.31	-25.401	0
33.5	-0.72377	0	-2.2101	2.4734	-2.2101	-2.4734	-25.241	0
34.079	-0.72785	0	-2.2183	2.4936	-2.2183	-2.4936	-25.221	0
40.109	-0.76436	0	-2.3079	2.6954	-2.3079	-2.6954	-25.005	0
47.207	-0.79682	0	-2.4206	2.9163	-2.4206	-2.9163	-24.747	0
55.2	-0.82431	0	-2.5549	3.1472	-2.5549	-3.1472	-24.451	0
55.562	-0.82538	0	-2.5612	3.1573	-2.5612	-3.1573	-24.437	0
62	-0.84253	0	-2.6742	3.3313	-2.6742	-3.3313	-24.194	0
65.394	-0.8503	0	-2.7353	3.4196	-2.7353	-3.4196	-24.064	0
76.967	-0.87192	0	-2.9507	3.7047	-2.9507	-3.7047	-23.612	0
90.5	-0.89047	0	-3.2159	4.0123	-3.2159	-4.0123	-23.063	0
90.588	-0.89057	0	-3.2177	4.0142	-3.2177	-4.0142	-23.059	0
106.62	-0.90661	0	-3.5505	4.3504	-3.5505	-4.3504	-22.378	0
125.49	-0.92038	0	-3.9699	4.7165	-3.9699	-4.7165	-21.525	0
147.69	-0.93216	0	-4.5081	5.118	-4.5081	-5.118	-20.437	0
173.83	-0.94223	0	-5.2195	5.5682	-5.2195	-5.5682	-19.004	0
204.6	-0.95082	0	-6.2073	6.1096	-6.2073	-6.1096	-17.02	0
227	-0.95563	0	-7.0705	6.575	-7.0705	-6.575	-15.289	0
240.8	-0.95815	0	-7.6708	6.9437	-7.6708	-6.9437	-14.085	0
251.46	-0.95991	0	-8.155	7.3033	-8.155	-7.3033	-13.115	0
262.11	-0.96153	0	-8.6258	7.7439	-8.6258	-7.7439	-12.172	0
272.76	-0.96302	0	-9.0455	8.2558	-9.0455	-8.2558	-11.331	0
283.42	-0.9644	0	-9.3928	8.8075	-9.3928	-8.8075	-10.635	0
308.49	-0.96728	0	-9.9557	10.108	-9.9557	-10.108	-9.5065	0
333.57	-0.96972	0	-10.295	11.309	-10.295	-11.309	-8.8246	0
392.6	-0.97425	0	-10.725	13.737	-10.725	-13.737	-7.9605	0
399.3	-0.97468	0	-10.757	13.985	-10.757	-13.985	-7.8962	0
462.08	-0.97811	0	-10.976	16.116	-10.976	-16.116	-7.4554	0
543.86	-0.98139	0	-11.141	18.513	-11.141	-18.513	-7.1223	0
640.1	-0.98418	0	-11.257	20.975	-11.257	-20.975	-6.8866	0
753.38	-0.98655	0	-11.343	23.537	-11.343	-23.537	-6.712	0
886.71	-0.98857	0	-11.409	26.228	-11.409	-26.228	-6.5785	0
1043.6	-0.99029	0	-11.46	29.074	-11.46	-29.074	-6.4743	0
1228.3	-0.99174	0	-11.501	32.1	-11.501	-32.1	-6.3914	0
1445.7	-0.99298	0	-11.534	35.329	-11.534	-35.329	-6.3248	0
1701.5	-0.99404	0	-11.56	38.785	-11.56	-38.785	-6.2706	0
2002.6	-0.99493	0	-11.582	42.492	-11.582	-42.492	-6.2262	0
2357.1	-0.9957	0	-11.6	46.478	-11.6	-46.478	-6.1896	0
2774.2	-0.99634	0	-11.615	50.769	-11.615	-50.769	-6.1593	0
3265.1	-0.99689	0	-11.627	55.394	-11.627	-55.394	-6.1341	0
3843	-0.99736	0	-11.637	60.386	-11.637	-60.386	-6.113	0
4523	-0.99776	0	-11.646	65.777	-11.646	-65.777	-6.0954	0
5323.5	-0.99809	0	-11.653	71.604	-11.653	-71.604	-6.0806	0
6265.6	-0.99838	0	-11.659	77.906	-11.659	-77.906	-6.0681	0
2.4821e+06	-1	0	-11.692	1575.4	-11.692	-1575.4	-6.0002	0
Inf	-1	0	Inf	0	Inf	0	-6	0
