K	re1	im1	re2	im2	re3	im3
0	0	0	-2	1	-2	-1
0.0060117	-0.094321	0	-1.9772	1.1196	-1.9772	-1.1196
0.0069691	-0.10873	0	-1.9739	1.1382	-1.9739	-1.1382
0.008079	-0.12521	0	-1.9701	1.1598	-1.9701	-1.1598
0.0093657	-0.144	0	-1.9659	1.1847	-1.9659	-1.1847
0.010857	-0.16534	0	-1.9613	1.2133	-1.9613	-1.2133
0.012586	-0.18949	0	-1.9562	1.2463	-1.9562	-1.2463
0.014591	-0.21667	0	-1.9508	1.2842	-1.9508	-1.2842
0.016914	-0.24703	0	-1.945	1.3278	-1.945	-1.3278
0.019608	-0.28068	0	-1.9391	1.3779	-1.9391	-1.3779
0.022731	-0.3176	0	-1.9333	1.4352	-1.9333	-1.4352
0.026351	-0.35758	0	-1.9279	1.5007	-1.9279	-1.5007
0.030548	-0.40026	0	-1.9236	1.5754	-1.9236	-1.5754
0.035413	-0.44502	0	-1.9209	1.66	-1.9209	-1.66
0.041052	-0.49108	0	-1.9207	1.7556	-1.9207	-1.7556
0.04759	-0.53747	0	-1.924	1.8629	-1.924	-1.8629
0.055169	-0.58321	0	-1.9318	1.9825	-1.9318	-1.9825
0.063956	-0.62735	0	-1.9453	2.115	-1.9453	-2.115
0.074141	-0.66909	0	-1.9657	2.2608	-1.9657	-2.2608
0.085949	-0.70788	0	-1.9942	2.4204	-1.9942	-2.4204
0.099637	-0.74336	0	-2.0318	2.5939	-2.0318	-2.5939
0.1155	-0.77542	0	-2.0801	2.7819	-2.0801	-2.7819
0.1339	-0.80408	0	-2.1403	2.9846	-2.1403	-2.9846
0.15522	-0.82949	0	-2.2139	3.2025	-2.2139	-3.2025
0.17994	-0.85189	0	-2.3028	3.4361	-2.3028	-3.4361
0.2086	-0.87154	0	-2.4091	3.6856	-2.4091	-3.6856
0.24182	-0.88871	0	-2.535	3.9515	-2.535	-3.9515
0.28034	-0.90366	0	-2.6835	4.234	-2.6835	-4.234
0.32498	-0.91667	0	-2.8578	4.5331	-2.8578	-4.5331
0.37674	-0.92796	0	-3.0618	4.8487	-3.0618	-4.8487
0.43674	-0.93774	0	-3.2999	5.1802	-3.2999	-5.1802
0.50629	-0.94622	0	-3.5774	5.5266	-3.5774	-5.5266
0.58692	-0.95355	0	-3.9003	5.886	-3.9003	-5.886
0.68039	-0.95989	0	-4.2756	6.2557	-4.2756	-6.2557
0.78875	-0.96537	0	-4.7118	6.6317	-4.7118	-6.6317
0.91436	-0.97011	0	-5.2181	7.0083	-5.2181	-7.0083
1.06	-0.9742	0	-5.8058	7.3773	-5.8058	-7.3773
1.2288	-0.97773	0	-6.4878	7.7271	-6.4878	-7.7271
1.4245	-0.98079	0	-7.2788	8.0414	-7.2788	-8.0414
1.6514	-0.98342	0	-8.1963	8.2967	-8.1963	-8.2967
1.9143	-0.98569	0	-9.2602	8.4593	-9.2602	-8.4593
2.2192	-0.98766	0	-10.494	8.4782	-10.494	-8.4782
2.5726	-0.98935	0	-11.925	8.2724	-11.925	-8.2724
2.7775	-0.99013	0	-12.754	8.0349	-12.754	-8.0349
2.9824	-0.99081	0	-13.583	7.7013	-13.583	-7.7013
3.2198	-0.99149	0	-14.545	7.1764	-14.545	-7.1764
3.4573	-0.99207	0	-15.506	6.4685	-15.506	-6.4685
3.7326	-0.99266	0	-16.621	5.3224	-16.621	-5.3224
3.8703	-0.99292	0	-17.178	4.5431	-17.178	-4.5431
4.0079	-0.99316	0	-17.736	3.5113	-17.736	-3.5113
4.0996	-0.99331	0	-18.107	2.539	-18.107	-2.539
4.1455	-0.99339	0	-18.293	1.8444	-18.293	-1.8444
4.1914	-0.99346	0	-18.478	0.53694	-18.478	-0.53694
4.1956	-0.99347	0	-18.495	5.4651e-07	-18.495	-5.4651e-07
4.1998	-0.99347	0	-17.975	0	-19.05	0
4.6462	-0.9941	0	-14.461	0	-26.179	0
5.3862	-0.99491	0	-13.062	0	-33.571	0
6.244	-0.99561	0	-12.308	0	-41.272	0
7.2384	-0.99621	0	-11.813	0	-49.822	0
8.3911	-0.99673	0	-11.458	0	-59.513	0
146.95	-0.99981	0	-10.062	0	-1183.2	0
Inf	-1	0	-10	0	Inf	0
