K	re1	im1	re2	im2	re3	im3	re4	im4
0	0	0	0	0	-2	1	-2	-1
5.3366e-06	-4.4599e-05	0.0099553	-4.4599e-05	-0.0099553	-2	1	-2	-1
6.9958e-06	-5.8466e-05	0.011398	-5.8466e-05	-0.011398	-2	1	-2	-1
9.1708e-06	-7.6643e-05	0.01305	-7.6643e-05	-0.01305	-2	1	-2	-1
1.2022e-05	-0.00010047	0.014942	-0.00010047	-0.014942	-2	1	-2	-1
1.576e-05	-0.00013171	0.017108	-0.00013171	-0.017108	-2	1	-2	-1
2.066e-05	-0.00017266	0.019587	-0.00017266	-0.019587	-1.9999	1	-1.9999	-1
2.7083e-05	-0.00022634	0.022426	-0.00022634	-0.022426	-1.9999	1	-1.9999	-1
3.5503e-05	-0.00029672	0.025677	-0.00029672	-0.025677	-1.9999	1	-1.9999	-1
4.6541e-05	-0.00038898	0.029398	-0.00038898	-0.029398	-1.9999	1.0001	-1.9999	-1.0001
6.101e-05	-0.00050992	0.033659	-0.00050992	-0.033659	-1.9998	1.0001	-1.9998	-1.0001
7.9979e-05	-0.00066848	0.038537	-0.00066848	-0.038537	-1.9997	1.0001	-1.9997	-1.0001
0.00010484	-0.00087635	0.044122	-0.00087635	-0.044122	-1.9997	1.0001	-1.9997	-1.0001
0.00013744	-0.0011489	0.050516	-0.0011489	-0.050516	-1.9996	1.0002	-1.9996	-1.0002
0.00018017	-0.0015062	0.057836	-0.0015062	-0.057836	-1.9994	1.0002	-1.9994	-1.0002
0.00023619	-0.0019746	0.066216	-0.0019746	-0.066216	-1.9993	1.0003	-1.9993	-1.0003
0.00030962	-0.0025888	0.075809	-0.0025888	-0.075809	-1.999	1.0004	-1.999	-1.0004
0.00040588	-0.0033942	0.086789	-0.0033942	-0.086789	-1.9987	1.0005	-1.9987	-1.0005
0.00053207	-0.0044504	0.099358	-0.0044504	-0.099358	-1.9983	1.0007	-1.9983	-1.0007
0.00069749	-0.0058357	0.11374	-0.0058357	-0.11374	-1.9978	1.0009	-1.9978	-1.0009
0.00091434	-0.0076527	0.13021	-0.0076527	-0.13021	-1.9971	1.0012	-1.9971	-1.0012
0.0011986	-0.010037	0.14904	-0.010037	-0.14904	-1.9962	1.0016	-1.9962	-1.0016
0.0015713	-0.013165	0.17059	-0.013165	-0.17059	-1.995	1.002	-1.995	-1.002
0.0020598	-0.017272	0.19523	-0.017272	-0.19523	-1.9934	1.0027	-1.9934	-1.0027
0.0027002	-0.022666	0.2234	-0.022666	-0.2234	-1.9914	1.0035	-1.9914	-1.0035
0.0035397	-0.029755	0.25559	-0.029755	-0.25559	-1.9887	1.0046	-1.9887	-1.0046
0.0046402	-0.039079	0.29236	-0.039079	-0.29236	-1.985	1.0061	-1.985	-1.0061
0.0060828	-0.051356	0.33431	-0.051356	-0.33431	-1.9803	1.0079	-1.9803	-1.0079
0.007974	-0.067546	0.38212	-0.067546	-0.38212	-1.9739	1.0104	-1.9739	-1.0104
0.010453	-0.08894	0.43654	-0.08894	-0.43654	-1.9654	1.0137	-1.9654	-1.0137
0.013703	-0.11729	0.49836	-0.11729	-0.49836	-1.954	1.018	-1.954	-1.018
0.017963	-0.15503	0.56841	-0.15503	-0.56841	-1.9384	1.0237	-1.9384	-1.0237
0.023548	-0.20557	0.64751	-0.20557	-0.64751	-1.9169	1.0312	-1.9169	-1.0312
0.030869	-0.2739	0.73642	-0.2739	-0.73642	-1.8866	1.0411	-1.8866	-1.0411
0.040467	-0.36782	0.8358	-0.36782	-0.8358	-1.8426	1.0541	-1.8426	-1.0541
0.053048	-0.50087	0.94624	-0.50087	-0.94624	-1.775	1.0709	-1.775	-1.0709
0.069541	-0.70326	1.0699	-0.70326	-1.0699	-1.6583	1.0904	-1.6583	-1.0904
0.080131	-0.86727	1.1466	-0.86727	-1.1466	-1.5494	1.0951	-1.5494	-1.0951
0.085426	-0.97209	1.1938	-0.97209	-1.1938	-1.4721	1.0861	-1.4721	-1.0861
0.086749	-1.0024	1.2092	-1.0024	-1.2092	-1.4487	1.08	-1.4487	-1.08
0.088073	-1.0345	1.2279	-1.0345	-1.2279	-1.4235	1.0706	-1.4235	-1.0706
0.089397	-1.0675	1.2514	-1.0675	-1.2514	-1.3973	1.0562	-1.3973	-1.0562
