t	y1.0	y6.5	y8.0	y9.8	y11.2	y14.0	y17.1
0	0	0	0	0	0	0	0
0.01	4.9502e-05	0.00032324	0.000396	0.00048459	0.0005529	0.00069296	0.00084638
0.02	0.00019604	0.0012799	0.001568	0.0019187	0.002189	0.0027434	0.0033505
0.03	0.0004367	0.0028505	0.0034918	0.0042725	0.0048743	0.0061079	0.0074586
0.04	0.00076863	0.0050155	0.0061434	0.0075162	0.0085741	0.010742	0.013116
0.05	0.001189	0.0077556	0.0094986	0.01162	0.013254	0.016602	0.020265
0.06	0.0016952	0.011051	0.013533	0.016553	0.018878	0.023641	0.02885
0.07	0.0022844	0.014884	0.018224	0.022285	0.025412	0.031815	0.038811
0.08	0.002954	0.019234	0.023546	0.028787	0.032821	0.041075	0.050089
0.09	0.0037016	0.024083	0.029475	0.036028	0.041068	0.051377	0.062624
0.1	0.0045244	0.029411	0.035989	0.043977	0.050119	0.062672	0.076356
0.11	0.0054202	0.035201	0.043063	0.052605	0.059938	0.074914	0.091223
0.12	0.0063864	0.041434	0.050674	0.061882	0.07049	0.088056	0.10716
0.13	0.0074207	0.048091	0.058798	0.071777	0.08174	0.10205	0.12412
0.14	0.0085209	0.055154	0.067413	0.082262	0.093651	0.11685	0.14202
0.15	0.0096846	0.062607	0.076495	0.093306	0.10619	0.13241	0.16081
0.16	0.01091	0.07043	0.086023	0.10488	0.11932	0.14868	0.18044
0.17	0.012194	0.078607	0.095973	0.11696	0.13301	0.16562	0.20082
0.18	0.013535	0.087121	0.10632	0.12951	0.14723	0.18317	0.22192
0.19	0.014932	0.095953	0.11705	0.1425	0.16194	0.2013	0.24366
0.2	0.016381	0.10509	0.12814	0.15591	0.1771	0.21996	0.26599
0.21	0.017881	0.11451	0.13956	0.16971	0.19269	0.2391	0.28884
0.22	0.019431	0.1242	0.1513	0.18387	0.20867	0.25868	0.31217
0.23	0.021028	0.13415	0.16333	0.19837	0.22501	0.27866	0.3359
0.24	0.02267	0.14433	0.17564	0.21317	0.24168	0.29899	0.36
0.25	0.024356	0.15474	0.1882	0.22826	0.25865	0.31963	0.38439
0.26	0.026084	0.16536	0.20099	0.24361	0.27589	0.34054	0.40903
0.27	0.027852	0.17617	0.214	0.25918	0.29336	0.36169	0.43386
0.28	0.029658	0.18716	0.22721	0.27497	0.31104	0.38302	0.45884
0.29	0.031502	0.19831	0.24059	0.29094	0.32891	0.40451	0.48391
0.3	0.03338	0.20962	0.25414	0.30707	0.34692	0.42611	0.50902
0.31	0.035293	0.22106	0.26782	0.32333	0.36506	0.44779	0.53413
0.32	0.037238	0.23262	0.28164	0.33971	0.3833	0.46951	0.55918
0.33	0.039213	0.2443	0.29556	0.35619	0.40161	0.49124	0.58414
0.34	0.041218	0.25607	0.30957	0.37273	0.41996	0.51294	0.60896
0.35	0.043251	0.26794	0.32366	0.38933	0.43834	0.53458	0.6336
0.36	0.045311	0.27987	0.33781	0.40596	0.45672	0.55614	0.65802
0.37	0.047396	0.29187	0.35201	0.4226	0.47508	0.57757	0.68218
0.38	0.049505	0.30391	0.36623	0.43923	0.49339	0.59885	0.70604
0.39	0.051636	0.316	0.38047	0.45583	0.51163	0.61996	0.72958
0.4	0.05379	0.32812	0.39472	0.47239	0.52978	0.64086	0.75275
0.41	0.055963	0.34025	0.40895	0.4889	0.54782	0.66153	0.77552
0.42	0.058156	0.35239	0.42316	0.50532	0.56573	0.68194	0.79788
0.43	0.060367	0.36453	0.43733	0.52165	0.5835	0.70207	0.81977
0.44	0.062595	0.37666	0.45146	0.53787	0.60111	0.72191	0.84119
0.45	0.06484	0.38877	0.46552	0.55397	0.61853	0.74142	0.8621
0.46	0.067099	0.40085	0.47951	0.56993	0.63575	0.76059	0.88249
0.47	0.069371	0.41289	0.49342	0.58574	0.65276	0.77939	0.90233
0.48	0.071657	0.42489	0.50723	0.60139	0.66955	0.79782	0.92159
0.49	0.073955	0.43683	0.52095	0.61686	0.68609	0.81586	0.94028
0.5	0.076264	0.44871	0.53455	0.63214	0.70238	0.83348	0.95835
0.51	0.078584	0.46051	0.54802	0.64722	0.71839	0.85067	0.97582
0.52	0.080912	0.47225	0.56137	0.66209	0.73414	0.86743	0.99265
0.53	0.083249	0.4839	0.57458	0.67674	0.74959	0.88374	1.0088
0.54	0.085594	0.49545	0.58764	0.69117	0.76473	0.89959	1.0244
0.55	0.087946	0.50692	0.60054	0.70535	0.77957	0.91496	1.0393
0.56	0.090304	0.51828	0.61329	0.71929	0.7941	0.92986	1.0535
0.57	0.092668	0.52953	0.62586	0.73297	0.80829	0.94426	1.067
0.58	0.095036	0.54067	0.63826	0.74639	0.82215	0.95817	1.0799
0.59	0.097408	0.55169	0.65048	0.75955	0.83567	0.97158	1.092
0.6	0.099784	0.56258	0.66251	0.77243	0.84884	0.98449	1.1035
0.61	0.10216	0.57335	0.67435	0.78503	0.86165	0.99689	1.1144
0.62	0.10454	0.58399	0.68599	0.79734	0.87411	1.0088	1.1245
0.63	0.10692	0.59449	0.69744	0.80936	0.88621	1.0201	1.134
0.64	0.10931	0.60485	0.70867	0.82109	0.89794	1.031	1.1428
0.65	0.11169	0.61506	0.71969	0.83253	0.9093	1.0413	1.1509
0.66	0.11407	0.62513	0.73051	0.84366	0.92029	1.0511	1.1584
0.67	0.11646	0.63504	0.7411	0.85449	0.93091	1.0605	1.1652
0.68	0.11884	0.64481	0.75148	0.86501	0.94115	1.0692	1.1713
0.69	0.12122	0.65441	0.76163	0.87522	0.95102	1.0775	1.1769
0.7	0.12359	0.66386	0.77156	0.88512	0.96051	1.0853	1.1818
