t	y1.0	y44.7	y64.7	y102.0	y159.6	y232.0	y400.0
0	0	0	0	0	0	0	0
0.01	4.6908e-05	0.002096	0.0030333	0.0047806	0.0074767	0.010862	0.018702
0.02	0.00017642	0.007875	0.011391	0.017936	0.028013	0.040625	0.069661
0.03	0.00037406	0.016668	0.024091	0.037878	0.059023	0.08535	0.14538
0.04	0.00062798	0.027916	0.040305	0.063243	0.098239	0.1415	0.23882
0.05	0.00092846	0.041152	0.059333	0.092864	0.14368	0.20593	0.34357
0.06	0.0012676	0.055983	0.080587	0.12575	0.19365	0.2759	0.45393
0.07	0.0016388	0.072084	0.10357	0.16104	0.24666	0.34901	0.56503
0.08	0.0020368	0.089179	0.12786	0.19803	0.30145	0.42326	0.67282
0.09	0.0024571	0.10704	0.15311	0.2361	0.35698	0.49693	0.77408
0.1	0.0028962	0.12547	0.17902	0.27475	0.41236	0.56865	0.86637
0.11	0.0033511	0.14432	0.20535	0.31354	0.46685	0.6373	0.94799
0.12	0.0038192	0.16344	0.23188	0.35213	0.51985	0.70204	1.0179
0.13	0.0042986	0.18273	0.25845	0.39021	0.57091	0.76222	1.0757
0.14	0.0047875	0.20209	0.2849	0.42755	0.61966	0.81742	1.1215
0.15	0.0052846	0.22144	0.31113	0.46395	0.66581	0.86739	1.1556
0.16	0.0057886	0.24071	0.33702	0.49926	0.70919	0.91199	1.179
0.17	0.0062987	0.25985	0.3625	0.53337	0.74966	0.95125	1.1925
0.18	0.0068138	0.27882	0.38751	0.56617	0.78716	0.98529	1.1975
0.19	0.0073334	0.29758	0.41198	0.59761	0.82167	1.0143	1.1951
0.2	0.0078567	0.31608	0.43588	0.62763	0.85323	1.0385	1.1868
0.21	0.0083834	0.33432	0.45917	0.65623	0.88188	1.0583	1.1737
0.22	0.008913	0.35226	0.48183	0.68337	0.90772	1.0739	1.1572
0.23	0.009445	0.36989	0.50384	0.70907	0.93085	1.0858	1.1383
0.24	0.0099792	0.38719	0.52518	0.73334	0.95141	1.0943	1.1181
0.25	0.010515	0.40416	0.54585	0.7562	0.96951	1.0998	1.0975
0.26	0.011053	0.42078	0.56583	0.77768	0.98532	1.1026	1.0772
0.27	0.011592	0.43704	0.58514	0.7978	0.99898	1.1032	1.0579
0.28	0.012132	0.45295	0.60377	0.81662	1.0106	1.1019	1.0399
0.29	0.012673	0.46849	0.62173	0.83417	1.0205	1.099	1.0238
0.3	0.013215	0.48368	0.63902	0.85049	1.0286	1.0947	1.0096
0.31	0.013757	0.49849	0.65566	0.86565	1.0352	1.0894	0.9975
0.32	0.0143	0.51294	0.67164	0.87967	1.0404	1.0833	0.98754
0.33	0.014843	0.52703	0.68699	0.89262	1.0443	1.0767	0.97966
0.34	0.015387	0.54075	0.70171	0.90455	1.0471	1.0697	0.97373
